   ETF Name                               , Ticker , Units  , Unit Price , Market Value , Book Value  ,Date
 BMO S&P 500 INDEX ETF                    , ZSP    ,16,57.52,958.27,$920.32,May 31 2022
 VANGUARD CDN AGGREGATE BD INDEX ETF      , VAB    ,3,22.96,80.54,$68.88,May 31 2022
 VANGUARD FTSE GLOBAL ALL CAP EX CDA INDEX ETF TR UNIT , VXC    ,"3,336",45.02,"126,707.28","$150,186.72",May 31 2022
 VANGUARD ALL-EQUITY ETF PORTFOLIO UNIT   , VEQT   ,"12,865",33.13,"397,425.80","$426,217.45",May 31 2022
 VANGUARD GROWTH ETF                      , VGRO   ,53,29.35,"1,409.66","$1,555.55",May 31 2022
 BMO S&P 500 INDEX ETF                         , ZSP    ,16,60.73,958.27,$971.68,March 31 2023
 VANGUARD CDN AGGREGATE BD INDEX ETF TR UNIT   , VAB    ,3,22.81,80.54,$68.43,March 31 2023
 VANGUARD FTSE GLOBAL ALL CAP EX CDA INDEX ETF TR UNIT , VXC    ,"3,393",47.26,"129,124.44","$160,353.18",March 31 2023
 VANGUARD ALL-EQUITY ETF PORTFOLIO UNIT        , VEQT   ,"13,134",34,"406,071.51","$446,556.00",March 31 2023
 VANGUARD GROWTH ETF PORTFOLIO UNIT            , VGRO   ,53,29.95,"1,409.66","$1,587.35",March 31 2023
